"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CSECTIONS","TOT","1000BIRTH","A","1997",138.6,
"AUT","CSECTIONS","TOT","1000BIRTH","A","1998",145.6,
"AUT","CSECTIONS","TOT","1000BIRTH","A","1999",158.8,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2000",167.6,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2001",180.4,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2002",198.2,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2003",206.9,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2004",228,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2005",238.1,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2006",250.5,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2007",265.1,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2008",271,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2009",281.7,"B"
"AUT","CSECTIONS","TOT","1000BIRTH","A","2010",282.5,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2011",283.2,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2012",288.4,
"AUT","CSECTIONS","TOT","1000BIRTH","A","2013",287.8,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2005",190.3,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2006",196.1,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2007",189,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2008",196.5,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2009",193.3,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2010",197.2,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2011",201.3,
"BEL","CSECTIONS","TOT","1000BIRTH","A","2012",202.3,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1990",184.3,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1991",179.1,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1992",174.6,
